loss,acc,epoch,step,val_loss,val_acc,lr
2.6763076782226562,0.0859375,0,49,,,
2.6596031188964844,0.1015625,0,99,,,
2.6809921264648438,0.078125,0,149,,,
2.6182861328125,0.1171875,0,199,,,
2.649402618408203,0.0859375,0,249,,,
2.566680908203125,0.109375,0,299,,,
2.62640380859375,0.0859375,0,349,,,
,,0,390,2.5918290615081787,0.10000000149011612,
2.501476287841797,0.1875,1,399,,,
2.0586280822753906,0.2421875,1,449,,,
1.9041023254394531,0.25,1,499,,,
1.9138412475585938,0.296875,1,549,,,
1.7282943725585938,0.390625,1,599,,,
1.9309864044189453,0.328125,1,649,,,
1.6250057220458984,0.4375,1,699,,,
1.5275135040283203,0.40625,1,749,,,
,,1,781,,,0.0002
,,1,781,1.5369337797164917,0.44449999928474426,
1.5662765502929688,0.421875,2,799,,,
1.7429628372192383,0.3671875,2,849,,,
1.4835076332092285,0.4453125,2,899,,,
1.44004487991333,0.484375,2,949,,,
1.3610210418701172,0.4921875,2,999,,,
1.3843388557434082,0.484375,2,1049,,,
1.4482378959655762,0.484375,2,1099,,,
1.282820701599121,0.5703125,2,1149,,,
,,2,1172,,,0.0004
,,2,1172,1.3960044384002686,0.4887000024318695,
1.3640284538269043,0.4921875,3,1199,,,
1.3489768505096436,0.4921875,3,1249,,,
1.4079136848449707,0.484375,3,1299,,,
1.463411808013916,0.5078125,3,1349,,,
1.4044902324676514,0.5,3,1399,,,
1.3208489418029785,0.5234375,3,1449,,,
1.193568468093872,0.59375,3,1499,,,
1.274533748626709,0.515625,3,1549,,,
,,3,1563,,,0.0006
,,3,1563,1.1761466264724731,0.574999988079071,
1.3488655090332031,0.5,4,1599,,,
1.2439466714859009,0.53125,4,1649,,,
1.5056884288787842,0.46875,4,1699,,,
1.3614954948425293,0.5078125,4,1749,,,
1.0734072923660278,0.5859375,4,1799,,,
1.1894944906234741,0.5546875,4,1849,,,
1.2169952392578125,0.5859375,4,1899,,,
1.1678409576416016,0.5859375,4,1949,,,
,,4,1954,,,0.0008
,,4,1954,1.1837962865829468,0.5776000022888184,
1.1024971008300781,0.609375,5,1999,,,
1.1984424591064453,0.5703125,5,2049,,,
1.2608604431152344,0.5703125,5,2099,,,
1.0854617357254028,0.609375,5,2149,,,
1.0936017036437988,0.6171875,5,2199,,,
0.9444040060043335,0.609375,5,2249,,,
1.1165213584899902,0.5703125,5,2299,,,
,,5,2345,,,0.001
,,5,2345,1.1456295251846313,0.5954999923706055,
1.0473227500915527,0.65625,6,2349,,,
1.0371427536010742,0.65625,6,2399,,,
1.3649424314498901,0.515625,6,2449,,,
1.1161160469055176,0.640625,6,2499,,,
0.9905198216438293,0.6640625,6,2549,,,
1.1758790016174316,0.578125,6,2599,,,
1.1459541320800781,0.6171875,6,2649,,,
0.9704583883285522,0.640625,6,2699,,,
,,6,2736,,,0.001
,,6,2736,1.0865730047225952,0.6093000173568726,
0.8223037719726562,0.703125,7,2749,,,
0.900242805480957,0.640625,7,2799,,,
0.9597806930541992,0.6875,7,2849,,,
0.9186047315597534,0.6484375,7,2899,,,
0.980876624584198,0.625,7,2949,,,
0.9951310753822327,0.6640625,7,2999,,,
1.0158517360687256,0.640625,7,3049,,,
0.7746337056159973,0.71875,7,3099,,,
,,7,3127,,,0.000999938933078422
,,7,3127,0.9509589672088623,0.6617000102996826,
0.8479651212692261,0.7265625,8,3149,,,
0.9032992124557495,0.6875,8,3199,,,
0.9503227472305298,0.625,8,3249,,,
1.0253069400787354,0.6328125,8,3299,,,
1.0217941999435425,0.671875,8,3349,,,
0.9820970892906189,0.640625,8,3399,,,
0.9298161864280701,0.703125,8,3449,,,
1.0407843589782715,0.625,8,3499,,,
,,8,3518,,,0.000999755747381037
,,8,3518,0.9127039313316345,0.6798999905586243,
0.8189164400100708,0.7265625,9,3549,,,
0.8214654326438904,0.71875,9,3599,,,
0.8885214924812317,0.6640625,9,3649,,,
0.8659397959709167,0.703125,9,3699,,,
0.9130929708480835,0.65625,9,3749,,,
0.8334788680076599,0.6875,9,3799,,,
0.8534551858901978,0.703125,9,3849,,,
0.8627820014953613,0.6953125,9,3899,,,
,,9,3909,,,0.000999450488106175
,,9,3909,0.8738588690757751,0.6852999925613403,
0.7965002059936523,0.7421875,10,3949,,,
0.7646198272705078,0.8125,10,3999,,,
0.887040376663208,0.6796875,10,4049,,,
0.8152972459793091,0.6875,10,4099,,,
0.7228226065635681,0.75,10,4149,,,
0.8026587963104248,0.71875,10,4199,,,
0.864253044128418,0.71875,10,4249,,,
0.8867893815040588,0.6875,10,4299,,,
,,10,4300,,,0.0009990232305719944
,,10,4300,0.8296751976013184,0.7084000110626221,
0.7394310235977173,0.78125,11,4349,,,
0.8888058066368103,0.6875,11,4399,,,
0.6855509877204895,0.765625,11,4449,,,
0.8602492213249207,0.7109375,11,4499,,,
0.9559364318847656,0.6640625,11,4549,,,
0.882523775100708,0.7109375,11,4599,,,
0.8505679965019226,0.71875,11,4649,,,
,,11,4691,,,0.0009984740801978983
,,11,4691,0.786488950252533,0.7250999808311462,
0.6089356541633606,0.796875,12,4699,,,
0.7698073983192444,0.71875,12,4749,,,
0.7118600606918335,0.7421875,12,4799,,,
0.7962948083877563,0.6875,12,4849,,,
0.8086321949958801,0.7265625,12,4899,,,
0.7996499538421631,0.7109375,12,4949,,,
0.7734588980674744,0.7421875,12,4999,,,
0.5628832578659058,0.7890625,12,5049,,,
,,12,5082,,,0.0009978031724785245
,,12,5082,0.7979009747505188,0.7271000146865845,
0.8237476348876953,0.7109375,13,5099,,,
