loss,acc,epoch,step,val_loss,val_acc,lr
2.6602582931518555,0.0859375,0,49,,,
2.6434192657470703,0.1015625,0,99,,,
2.6621508598327637,0.078125,0,149,,,
2.6028988361358643,0.1171875,0,199,,,
2.628457546234131,0.0859375,0,249,,,
2.558666467666626,0.109375,0,299,,,
2.6156907081604004,0.0859375,0,349,,,
,,0,390,2.591092109680176,0.10000000149011612,
2.6072983741760254,0.1171875,1,399,,,
2.2029507160186768,0.1875,1,449,,,
2.1589303016662598,0.21875,1,499,,,
2.183342933654785,0.2265625,1,549,,,
2.1184065341949463,0.2109375,1,599,,,
2.130765914916992,0.2578125,1,649,,,
2.1100621223449707,0.328125,1,699,,,
2.03385853767395,0.28125,1,749,,,
,,1,781,,,0.0002
,,1,781,1.88230562210083,0.3610999882221222,
2.0143041610717773,0.2734375,2,799,,,
2.056952953338623,0.25,2,849,,,
2.0129075050354004,0.2890625,2,899,,,
1.9913477897644043,0.265625,2,949,,,
1.9058990478515625,0.3203125,2,999,,,
1.9151363372802734,0.3203125,2,1049,,,
1.849961757659912,0.375,2,1099,,,
1.7892441749572754,0.3828125,2,1149,,,
,,2,1172,,,0.0004
,,2,1172,1.7112843990325928,0.4359000027179718,
1.9172881841659546,0.34375,3,1199,,,
1.9475294351577759,0.375,3,1249,,,
1.8978042602539062,0.3359375,3,1299,,,
1.8738642930984497,0.3984375,3,1349,,,
1.873482346534729,0.3515625,3,1399,,,
1.769997239112854,0.4296875,3,1449,,,
1.7441109418869019,0.4140625,3,1499,,,
1.7016119956970215,0.4765625,3,1549,,,
,,3,1563,,,0.0006
,,3,1563,1.5650427341461182,0.5293999910354614,
1.8550077676773071,0.328125,4,1599,,,
1.7667481899261475,0.3828125,4,1649,,,
1.8254040479660034,0.421875,4,1699,,,
1.7473912239074707,0.390625,4,1749,,,
1.7035142183303833,0.4453125,4,1799,,,
1.7920358180999756,0.4140625,4,1849,,,
1.7652087211608887,0.390625,4,1899,,,
1.739109992980957,0.4375,4,1949,,,
,,4,1954,,,0.0008
,,4,1954,1.5282658338546753,0.5407999753952026,
1.6480238437652588,0.484375,5,1999,,,
1.7573403120040894,0.4140625,5,2049,,,
1.7376322746276855,0.4453125,5,2099,,,
1.5729320049285889,0.515625,5,2149,,,
1.6370874643325806,0.53125,5,2199,,,
1.5172888040542603,0.546875,5,2249,,,
1.5539560317993164,0.4921875,5,2299,,,
,,5,2345,,,0.001
,,5,2345,1.5161794424057007,0.5503000020980835,
1.6228728294372559,0.515625,6,2349,,,
1.6729849576950073,0.4140625,6,2399,,,
1.6848304271697998,0.5078125,6,2449,,,
1.6857696771621704,0.5,6,2499,,,
1.612564206123352,0.546875,6,2549,,,
1.6583285331726074,0.515625,6,2599,,,
1.626206398010254,0.4921875,6,2649,,,
1.5705032348632812,0.4765625,6,2699,,,
,,6,2736,,,0.001
,,6,2736,1.3892817497253418,0.6141999959945679,
1.5950523614883423,0.484375,7,2749,,,
1.5414433479309082,0.5625,7,2799,,,
1.5840972661972046,0.4921875,7,2849,,,
1.543980360031128,0.5625,7,2899,,,
1.4476964473724365,0.6015625,7,2949,,,
1.5268610715866089,0.5390625,7,2999,,,
1.5936155319213867,0.5,7,3049,,,
1.4484061002731323,0.5859375,7,3099,,,
,,7,3127,,,0.000999938933078422
,,7,3127,1.3645946979522705,0.6146000027656555,
1.5368716716766357,0.5703125,8,3149,,,
1.5596768856048584,0.5,8,3199,,,
1.5490443706512451,0.5078125,8,3249,,,
1.4956716299057007,0.5703125,8,3299,,,
1.4669510126113892,0.6015625,8,3349,,,
1.5447216033935547,0.5390625,8,3399,,,
1.480765700340271,0.5546875,8,3449,,,
1.6405760049819946,0.53125,8,3499,,,
,,8,3518,,,0.000999755747381037
,,8,3518,1.314790964126587,0.6414999961853027,
1.430199146270752,0.6015625,9,3549,,,
1.4894354343414307,0.5625,9,3599,,,
1.446208119392395,0.59375,9,3649,,,
1.545015573501587,0.515625,9,3699,,,
1.5626814365386963,0.5078125,9,3749,,,
1.4648303985595703,0.515625,9,3799,,,
1.419907569885254,0.5625,9,3849,,,
1.5371356010437012,0.5390625,9,3899,,,
,,9,3909,,,0.000999450488106175
,,9,3909,1.2795873880386353,0.6597999930381775,
1.3917349576950073,0.625,10,3949,,,
1.3650965690612793,0.578125,10,3999,,,
1.5591901540756226,0.4921875,10,4049,,,
1.33522629737854,0.6328125,10,4099,,,
1.3385639190673828,0.6328125,10,4149,,,
1.3417037725448608,0.640625,10,4199,,,
1.467700719833374,0.5703125,10,4249,,,
1.425938606262207,0.59375,10,4299,,,
,,10,4300,,,0.0009990232305719944
,,10,4300,1.2195611000061035,0.6942999958992004,
1.3793318271636963,0.6171875,11,4349,,,
1.4666085243225098,0.5859375,11,4399,,,
1.3042166233062744,0.59375,11,4449,,,
1.4465701580047607,0.578125,11,4499,,,
1.580972671508789,0.4921875,11,4549,,,
1.4185879230499268,0.5859375,11,4599,,,
1.3848552703857422,0.625,11,4649,,,
,,11,4691,,,0.0009984740801978983
,,11,4691,1.1960402727127075,0.7006999850273132,
1.3488919734954834,0.609375,12,4699,,,
1.274701476097107,0.6953125,12,4749,,,
1.4122288227081299,0.609375,12,4799,,,
1.3750278949737549,0.6015625,12,4849,,,
1.4655449390411377,0.59375,12,4899,,,
1.4601322412490845,0.5546875,12,4949,,,
1.484438180923462,0.59375,12,4999,,,
1.32976496219635,0.6328125,12,5049,,,
,,12,5082,,,0.0009978031724785245
,,12,5082,1.188643217086792,0.70660001039505,
1.3423142433166504,0.6171875,13,5099,,,
1.273362636566162,0.65625,13,5149,,,
1.3818509578704834,0.640625,13,5199,,,
1.2874624729156494,0.6328125,13,5249,,,
1.2947174310684204,0.640625,13,5299,,,
1.3493809700012207,0.65625,13,5349,,,
1.2179681062698364,0.6875,13,5399,,,
1.3664882183074951,0.625,13,5449,,,
,,13,5473,,,0.000997010672950314
,,13,5473,1.1381787061691284,0.7281000018119812,
1.2731916904449463,0.640625,14,5499,,,
1.272953748703003,0.6875,14,5549,,,
1.219980239868164,0.6875,14,5599,,,
1.2919135093688965,0.6796875,14,5649,,,
1.2974976301193237,0.6796875,14,5699,,,
1.4761292934417725,0.5625,14,5749,,,
1.23716139793396,0.671875,14,5799,,,
1.2966537475585938,0.6484375,14,5849,,,
,,14,5864,,,0.0009960967771506664
,,14,5864,1.146440029144287,0.7293999791145325,
1.3126245737075806,0.625,15,5899,,,
1.2591359615325928,0.6640625,15,5949,,,
1.4032446146011353,0.65625,15,5999,,,
1.4132320880889893,0.609375,15,6049,,,
1.27170729637146,0.640625,15,6099,,,
1.2865102291107178,0.6796875,15,6149,,,
1.307582139968872,0.6484375,15,6199,,,
1.1465909481048584,0.7421875,15,6249,,,
,,15,6255,,,0.0009950617105696957
,,15,6255,1.1235861778259277,0.737500011920929,
1.288361668586731,0.625,16,6299,,,
1.293952465057373,0.6328125,16,6349,,,
1.2979220151901245,0.65625,16,6399,,,
1.4185482263565063,0.6015625,16,6449,,,
1.262649655342102,0.6953125,16,6499,,,
1.332141637802124,0.6484375,16,6549,,,
1.4244678020477295,0.59375,16,6599,,,
,,16,6646,,,0.0009939057285945929
,,16,6646,1.1045335531234741,0.7462000250816345,
1.1850252151489258,0.7421875,17,6649,,,
1.3096683025360107,0.625,17,6699,,,
1.205125331878662,0.734375,17,6749,,,
1.1682360172271729,0.7421875,17,6799,,,
1.2273125648498535,0.7109375,17,6849,,,
1.212899088859558,0.640625,17,6899,,,
1.1625944375991821,0.7421875,17,6949,,,
1.257472276687622,0.671875,17,6999,,,
,,17,7037,,,0.0009926291164466126
,,17,7037,1.0556689500808716,0.7652000188827515,
1.2340757846832275,0.6796875,18,7049,,,
1.2816922664642334,0.6875,18,7099,,,
1.2793233394622803,0.6875,18,7149,,,
1.1990426778793335,0.71875,18,7199,,,
1.226897954940796,0.703125,18,7249,,,
1.2228894233703613,0.7109375,18,7299,,,
1.149026870727539,0.6875,18,7349,,,
1.2124478816986084,0.65625,18,7399,,,
,,18,7428,,,0.0009912321891107005
,,18,7428,1.0672037601470947,0.7642999887466431,
1.1593327522277832,0.7421875,19,7449,,,
1.3126780986785889,0.65625,19,7499,,,
1.1190537214279175,0.7109375,19,7549,,,
1.2219219207763672,0.7265625,19,7599,,,
1.2862547636032104,0.65625,19,7649,,,
1.3647966384887695,0.6015625,19,7699,,,
1.1768481731414795,0.703125,19,7749,,,
1.1785383224487305,0.6953125,19,7799,,,
,,19,7819,,,0.0009897152912577737
,,19,7819,1.062180757522583,0.7626000046730042,
1.0267813205718994,0.75,20,7849,,,
1.2345988750457764,0.6484375,20,7899,,,
1.3513118028640747,0.59375,20,7949,,,
1.1400668621063232,0.7265625,20,7999,,,
1.1059832572937012,0.75,20,8049,,,
1.22607421875,0.71875,20,8099,,,
1.4144837856292725,0.5859375,20,8149,,,
1.3628411293029785,0.6484375,20,8199,,,
,,20,8210,,,0.0009880787971596797
,,20,8210,1.0451804399490356,0.7749999761581421,
1.1784429550170898,0.7265625,21,8249,,,
1.185974359512329,0.71875,21,8299,,,
1.3635722398757935,0.609375,21,8349,,,
1.271775484085083,0.65625,21,8399,,,
1.1651438474655151,0.734375,21,8449,,,
1.3071576356887817,0.625,21,8499,,,
1.1536736488342285,0.7109375,21,8549,,,
1.1739853620529175,0.7109375,21,8599,,,
,,21,8601,,,0.0009863231105968495
,,21,8601,1.0587294101715088,0.7689999938011169,
1.1023999452590942,0.7578125,22,8649,,,
1.1348481178283691,0.734375,22,8699,,,
1.2504879236221313,0.6875,22,8749,,,
1.1020878553390503,0.6953125,22,8799,,,
1.159684181213379,0.71875,22,8849,,,
1.1281534433364868,0.734375,22,8899,,,
1.1001207828521729,0.75,22,8949,,,
,,22,8992,,,0.000984448664758672
,,22,8992,1.0525648593902588,0.7674000263214111,
1.1913321018218994,0.6875,23,8999,,,
1.165906310081482,0.7265625,23,9049,,,
1.3037962913513184,0.6875,23,9099,,,
1.096473217010498,0.7578125,23,9149,,,
1.200934648513794,0.703125,23,9199,,,
1.2783207893371582,0.65625,23,9249,,,
1.2291061878204346,0.703125,23,9299,,,
1.1348775625228882,0.7578125,23,9349,,,
,,23,9383,,,0.0009824559221366096
,,23,9383,1.0091552734375,0.7897999882698059,
1.278454065322876,0.6484375,24,9399,,,
1.202488660812378,0.6953125,24,9449,,,
1.1674635410308838,0.6875,24,9499,,,
1.137874722480774,0.703125,24,9549,,,
1.1791768074035645,0.6796875,24,9599,,,
1.1025267839431763,0.75,24,9649,,,
1.1127068996429443,0.7578125,24,9699,,,
1.141390323638916,0.6796875,24,9749,,,
,,24,9774,,,0.0009803453744100864
,,24,9774,1.0079036951065063,0.7904000282287598,
1.1844877004623413,0.703125,25,9799,,,
1.226158618927002,0.6484375,25,9849,,,
1.2131376266479492,0.6796875,25,9899,,,
1.1985442638397217,0.671875,25,9949,,,
1.1432476043701172,0.71875,25,9999,,,
1.2126622200012207,0.703125,25,10049,,,
1.1421540975570679,0.6796875,25,10099,,,
0.9999958872795105,0.7890625,25,10149,,,
,,25,10165,,,0.0009781175423251728
,,25,10165,1.0163501501083374,0.7868000268936157,
1.1945689916610718,0.71875,26,10199,,,
1.1248620748519897,0.71875,26,10249,,,
1.0833914279937744,0.7109375,26,10299,,,
1.0577037334442139,0.765625,26,10349,,,
1.1932106018066406,0.6875,26,10399,,,
1.0309762954711914,0.78125,26,10449,,,
0.9951506853103638,0.7734375,26,10499,,,
1.110849380493164,0.765625,26,10549,,,
,,26,10556,,,0.0009757729755661004
,,26,10556,1.011987328529358,0.7836999893188477,
1.1052017211914062,0.75,27,10599,,,
1.1804087162017822,0.703125,27,10649,,,
1.2400412559509277,0.65625,27,10699,,,
1.1411809921264648,0.6953125,27,10749,,,
1.2516589164733887,0.65625,27,10799,,,
0.9820315837860107,0.796875,27,10849,,,
1.1417126655578613,0.734375,27,10899,,,
,,27,10947,,,0.0009733122526196342
,,27,10947,1.0008105039596558,0.7906000018119812,
1.116881251335144,0.7578125,28,10949,,,
1.3004688024520874,0.6953125,28,10999,,,
1.1491107940673828,0.6875,28,11049,,,
1.184156894683838,0.7109375,28,11099,,,
1.0652462244033813,0.71875,28,11149,,,
1.0955674648284912,0.7578125,28,11199,,,
1.026383876800537,0.78125,28,11249,,,
1.164186716079712,0.71875,28,11299,,,
,,28,11338,,,0.000970735980632341
,,28,11338,0.9997968673706055,0.7918000221252441,
1.1278960704803467,0.765625,29,11349,,,
1.1033412218093872,0.75,29,11399,,,
1.1170562505722046,0.7109375,29,11449,,,
1.0877646207809448,0.7578125,29,11499,,,
1.04380464553833,0.796875,29,11549,,,
1.0812493562698364,0.765625,29,11599,,,
1.0931693315505981,0.765625,29,11649,,,
1.218502163887024,0.7109375,29,11699,,,
